0.939629	1	+1
0.982705	1	+1
0.994489	1	+1
0.0983075	-1	+1
0.970533	1	+1
0.761149	1	+1
0.973924	1	+1
0.970564	1	+1
0.590693	1	+1
0.968098	1	+1
0.939073	1	+1
0.76092	1	+1
0.930131	1	+1
0.970522	1	+1
0.943451	1	+1
0.836809	1	+1
0.951893	1	+1
0.970528	1	+1
0.96868	1	+1
0.917927	1	+1
0.970504	1	+1
0.938664	1	+1
0.774608	1	+1
0.970558	1	+1
0.654865	1	+1
0.976121	1	+1
0.970489	1	+1
0.858944	1	+1
0.914102	1	+1
0.876641	1	+1
0.970504	1	+1
0.970569	1	+1
0.970498	1	+1
0.946481	1	+1
0.97051	1	+1
0.867514	1	+1
0.961622	1	+1
0.956326	1	+1
0.970546	1	+1
0.970542	1	+1
0.913745	1	+1
0.970566	1	+1
0.970528	1	+1
0.970544	1	+1
0.963257	1	+1
0.139263	-1	+1
0.912224	1	+1
0.751777	1	+1
0.970556	1	+1
0.970519	1	+1
0.691639	1	+1
0.837084	1	+1
0.892637	1	+1
0.963595	1	+1
0.970509	1	+1
0.894381	1	+1
0.970512	1	+1
0.943311	1	+1
0.970511	1	+1
0.615719	1	+1
0.900577	1	+1
0.593835	1	+1
0.938973	1	+1
0.970484	1	+1
0.963549	1	+1
0.956375	1	+1
0.883906	1	+1
0.970486	1	+1
0.772569	1	+1
0.970543	1	+1
0.930019	1	+1
0.981703	1	+1
0.970502	1	+1
0.925393	1	+1
0.970513	1	+1
0.97054	1	+1
0.724604	1	+1
0.829466	1	+1
0.826796	1	+1
0.970506	1	+1
0.857728	1	+1
0.895354	1	+1
0.777085	1	+1
0.838869	1	+1
0.970505	1	+1
0.97055	1	+1
0.0883238	-1	+1
0.978037	1	+1
0.970545	1	+1
0.913082	1	+1
0.966555	1	+1
0.921908	1	+1
0.921494	1	+1
0.901264	1	+1
0.791814	1	+1
0.97055	1	+1
0.986022	1	+1
0.863191	1	+1
0.959107	1	+1
0.976943	1	+1
0.979322	1	+1
0.977929	1	+1
0.657846	1	+1
0.970545	1	+1
0.968989	1	+1
0.970498	1	+1
0.792997	1	+1
0.97049	1	+1
0.970484	1	+1
0.74019	1	+1
0.970514	1	+1
0.977037	1	+1
0.951814	1	+1
0.970572	1	+1
0.853041	1	+1
0.94151	1	+1
0.970498	1	+1
0.79401	1	+1
0.885494	1	+1
0.821312	1	+1
0.970537	1	+1
0.944811	1	+1
0.951021	1	+1
0.970505	1	+1
0.913765	1	+1
0.987289	1	+1
0.995145	1	+1
0.929312	1	+1
0.947328	1	+1
0.489878	-1	+1
0.133435	-1	+1
0.970495	1	+1
0.900641	1	+1
0.839624	1	+1
0.970515	1	+1
0.970524	1	+1
0.970491	1	+1
0.970529	1	+1
0.826556	1	+1
0.971871	1	+1
0.863228	1	+1
0.970578	1	+1
1.34842e-06	-1	+1
0.970505	1	+1
0.97049	1	+1
0.970482	1	+1
0.967328	1	+1
0.970534	1	+1
0.970503	1	+1
0.970559	1	+1
0.850403	1	+1
0.870119	1	+1
0.350508	-1	+1
0.946175	1	+1
0.730437	1	+1
0.970555	1	+1
0.4023	-1	+1
0.970531	1	+1
0.80097	1	+1
0.92379	1	+1
0.969481	1	+1
0.970538	1	+1
0.970505	1	+1
0.970531	1	+1
0.970503	1	+1
0.420358	-1	+1
0.970491	1	+1
0.970503	1	+1
0.970504	1	+1
0.964813	1	+1
0.841639	1	+1
0.988873	1	+1
0.970512	1	+1
0.972821	1	+1
0.970558	1	+1
0.592837	1	+1
0.9705	1	+1
0.975673	1	+1
0.970512	1	+1
0.970484	1	+1
0.970567	1	+1
0.970512	1	+1
0.970534	1	+1
0.999016	1	+1
0.931621	1	+1
0.925659	1	+1
0.660083	1	+1
0.974686	1	+1
0.970514	1	+1
0.970536	1	+1
0.83602	1	+1
0.970521	1	+1
0.970569	1	+1
0.970529	1	+1
0.970502	1	+1
0.651354	1	+1
0.970508	1	+1
0.976808	1	+1
0.770522	1	+1
0.970549	1	+1
0.81248	1	+1
0.925814	1	+1
0.970561	1	+1
0.831257	1	+1
0.970502	1	+1
0.970541	1	+1
0.967604	1	+1
0.970552	1	+1
0.975524	1	+1
0.76713	1	+1
0.970526	1	+1
0.970529	1	+1
0.993882	1	+1
0.970489	1	+1
0.441186	-1	+1
0.848556	1	+1
0.970491	1	+1
0.970532	1	+1
0.967626	1	+1
0.951702	1	+1
0.970521	1	+1
0.969076	1	+1
0.984684	1	+1
0.994904	1	+1
0.970526	1	+1
0.970489	1	+1
0.97055	1	+1
0.792269	1	+1
0.940288	1	+1
0.969438	1	+1
0.774701	1	+1
0.940062	1	+1
0.943943	1	+1
0.970529	1	+1
0.961695	1	+1
0.969862	1	+1
0.970531	1	+1
0.970512	1	+1
0.785825	1	+1
0.977321	1	+1
0.970564	1	+1
0.954487	1	+1
0.969492	1	+1
0.970547	1	+1
0.921624	1	+1
0.694869	1	+1
0.970546	1	+1
0.970533	1	+1
0.247014	-1	+1
0.970538	1	+1
0.91478	1	+1
0.107067	-1	+1
